var,most_imp_r,most_imp_r_p,least_imp_r,least_imp_r_p
TETC1,0.1,0.08077109182863795,-0.09,0.10907836911151803
TETC2,0.18,0.0011403516502230815,-0.08,0.13432637070409115
TETC3,0.11,0.051686231555529316,-0.08,0.15083300965923385
TETC4,-0.11,0.051900754026763085,NA,NaN
TETC5,0.07,0.23158947310256028,-0.19,3.696626748881382e-4
TETC6,0.11,0.0431041596878754,-0.13,0.018301264608032053
TETC7,0.19,4.407709821216965e-4,-0.21,9.891771428094387e-5
TETC8,0.18,0.001229290251701931,-0.17,0.0016316910949782937
TETC9,0.18,0.0011035207954286363,-0.12,0.027599581436538845
TETC10,0.16,0.002766236064868144,-0.18,0.0012438376261358908
TETC11,0.12,0.025887823837606128,-0.27,3.59747728495563e-7
TETC12,0.08,0.12180543047584713,-0.06,0.2453151558445914
