Q8,n
NA,47
Technology,36
Science,34
Other,32
English / Language Arts,31
History / Social Studies,21
Special Education,21
Mathematics,17
"Mathematics,Science",7
"Technology,Other",6
Career Technical Education,4
Music,4
"Science,Technology",4
"English / Language Arts,Mathematics,Science,History / Social Studies,Physical Education & Health,Music,Fine Arts,World Languages,Special Education,Technology",3
"English / Language Arts,Other",3
"English / Language Arts,Technology,Other",3
Physical Education & Health,3
"Science,Other",3
"Special Education,Other",3
"English / Language Arts,Mathematics,Science,History / Social Studies,Physical Education & Health",2
"English / Language Arts,Mathematics,Science,History / Social Studies,World Languages",2
"English / Language Arts,Technology",2
"History / Social Studies,Other",2
"History / Social Studies,Technology",2
"Mathematics,Science,Other",2
"Mathematics,Science,Special Education",2
"Science,Technology,Other",2
"Special Education,Technology",2
"Career Technical Education,Technology",1
"English / Language Arts,History / Social Studies",1
"English / Language Arts,History / Social Studies,Fine Arts,Special Education,Other",1
"English / Language Arts,History / Social Studies,Special Education",1
"English / Language Arts,History / Social Studies,Technology",1
"English / Language Arts,History / Social Studies,World Languages,Technology",1
"English / Language Arts,Mathematics",1
"English / Language Arts,Mathematics,History / Social Studies",1
"English / Language Arts,Mathematics,Physical Education & Health,Technology",1
"English / Language Arts,Mathematics,Science,History / Social Studies",1
"English / Language Arts,Mathematics,Science,History / Social Studies,Fine Arts",1
"English / Language Arts,Mathematics,Science,History / Social Studies,Fine Arts,Other",1
"English / Language Arts,Mathematics,Science,History / Social Studies,Physical Education & Health,Fine Arts,Special Education,Technology",1
"English / Language Arts,Mathematics,Science,History / Social Studies,Physical Education & Health,Music,Fine Arts,World Languages",1
"English / Language Arts,Mathematics,Science,History / Social Studies,Physical Education & Health,Music,Fine Arts,World Languages,Special Education",1
"English / Language Arts,Mathematics,Science,History / Social Studies,Physical Education & Health,Music,Fine Arts,World Languages,Special Education,Career Technical Education,Technology",1
"English / Language Arts,Mathematics,Science,History / Social Studies,Physical Education & Health,Music,World Languages,Special Education",1
"English / Language Arts,Mathematics,Science,History / Social Studies,Physical Education & Health,Music,World Languages,Special Education,Career Technical Education,Technology",1
"English / Language Arts,Mathematics,Science,History / Social Studies,World Languages,Special Education,Other",1
"English / Language Arts,Mathematics,Science,Physical Education & Health",1
"English / Language Arts,Mathematics,Science,Special Education",1
"English / Language Arts,Mathematics,Special Education,Other",1
"English / Language Arts,Music,Fine Arts",1
"English / Language Arts,Special Education",1
"English / Language Arts,Special Education,Other",1
"English / Language Arts,Special Education,Technology",1
"Fine Arts,Other",1
"History / Social Studies,Special Education,Technology",1
"Mathematics,Other",1
"Mathematics,Science,History / Social Studies",1
"Mathematics,Science,Technology",1
"Mathematics,Special Education,Technology",1
"Mathematics,Technology",1
"Music,Fine Arts",1
"Physical Education & Health,Technology",1
"Science,Special Education",1
"World Languages,Other",1
